;FILENAME;URL;TYPE;FICHIER;MASQUE;LUMINOSITE;LUMINOSITE-CORR;CONTRASTE;CONTRASTE-CORR
11117;NORMAL-1490;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1490.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1490.png;;;;
11158;NORMAL-1531;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1531.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1531.png;;;;
11187;NORMAL-1560;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1560.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1560.png;;;;
11311;NORMAL-1684;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1684.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1684.png;;;;
11330;NORMAL-1703;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1703.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1703.png;;;;
11444;NORMAL-1817;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1817.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1817.png;;;;
11459;NORMAL-1832;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1832.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1832.png;;;;
11488;NORMAL-1861;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1861.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1861.png;;;;
11522;NORMAL-1895;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-1895.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-1895.png;;;;
11656;NORMAL-2029;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2029.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2029.png;;;;
11736;NORMAL-2109;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2109.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2109.png;;;;
11983;NORMAL-2356;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2356.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2356.png;;;;
11999;NORMAL-2372;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2372.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2372.png;;;;
12000;NORMAL-2373;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2373.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2373.png;;;;
12028;NORMAL-2401;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2401.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2401.png;;;;
12142;NORMAL-2515;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2515.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2515.png;;;;
12290;NORMAL-2663;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2663.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2663.png;;;;
12357;NORMAL-2730;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2730.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2730.png;;;;
12391;NORMAL-2764;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2764.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2764.png;;;;
12490;NORMAL-2863;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2863.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2863.png;;;;
12507;NORMAL-2880;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2880.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2880.png;;;;
12510;NORMAL-2883;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2883.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2883.png;;;;
12519;NORMAL-2892;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2892.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2892.png;;;;
12529;NORMAL-2902;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2902.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2902.png;;;;
12615;NORMAL-2988;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-2988.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-2988.png;;;;
12633;NORMAL-3006;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3006.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3006.png;;;;
12665;NORMAL-3038;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3038.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3038.png;;;;
12707;NORMAL-3080;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3080.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3080.png;;;;
12786;NORMAL-3159;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3159.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3159.png;;;;
12798;NORMAL-3171;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3171.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3171.png;;;;
12828;NORMAL-3201;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3201.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3201.png;;;;
12838;NORMAL-3211;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3211.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3211.png;;;;
12921;NORMAL-3294;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3294.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3294.png;;;;
12930;NORMAL-3303;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3303.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3303.png;;;;
12996;NORMAL-3369;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3369.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3369.png;;;;
13044;NORMAL-3417;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3417.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3417.png;;;;
13074;NORMAL-3447;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3447.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3447.png;;;;
13092;NORMAL-3465;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3465.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3465.png;;;;
13133;NORMAL-3506;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3506.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3506.png;;;;
13138;NORMAL-3511;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3511.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3511.png;;;;
13343;NORMAL-3716;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3716.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3716.png;;;;
13489;NORMAL-3862;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3862.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3862.png;;;;
13532;NORMAL-3905;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3905.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3905.png;;;;
13557;NORMAL-3930;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3930.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3930.png;;;;
13600;NORMAL-3973;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-3973.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-3973.png;;;;
13654;NORMAL-4027;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4027.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4027.png;;;;
13734;NORMAL-4107;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4107.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4107.png;;;;
13772;NORMAL-4145;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4145.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4145.png;;;;
13782;NORMAL-4155;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4155.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4155.png;;;;
13784;NORMAL-4157;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4157.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4157.png;;;;
13803;NORMAL-4176;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4176.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4176.png;;;;
13875;NORMAL-4248;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4248.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4248.png;;;;
14042;NORMAL-4415;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4415.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4415.png;;;;
14061;NORMAL-4434;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4434.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4434.png;;;;
14098;NORMAL-4471;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4471.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4471.png;;;;
14102;NORMAL-4475;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4475.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4475.png;;;;
14183;NORMAL-4556;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4556.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4556.png;;;;
14209;NORMAL-4582;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4582.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4582.png;;;;
14220;NORMAL-4593;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4593.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4593.png;;;;
14239;NORMAL-4612;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4612.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4612.png;;;;
14334;NORMAL-4707;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4707.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4707.png;;;;
14356;NORMAL-4729;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4729.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4729.png;;;;
14416;NORMAL-4789;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4789.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4789.png;;;;
14446;NORMAL-4819;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4819.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4819.png;;;;
14539;NORMAL-4912;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4912.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4912.png;;;;
14579;NORMAL-4952;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-4952.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-4952.png;;;;
14632;NORMAL-5005;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-5005.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-5005.png;;;;
14658;NORMAL-5031;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-5031.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-5031.png;;;;
14666;NORMAL-5039;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-5039.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-5039.png;;;;
14809;NORMAL-5182;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-5182.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-5182.png;;;;
14876;NORMAL-5249;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-5249.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-5249.png;;;;
14914;NORMAL-5287;https://www.kaggle.com/c/rsna-pneumonia-detection-challenge/data;Normal;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\JDD_ALL_ORIG\Normal\NORMAL-5287.png;C:\MesDocuments\DATASCIENTEST\PROJET\Livrable 3 Streamlit\IMAGES\Masks_ALL_ORIG\NORMAL-5287.png;;;;
